Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201401BS70001,1,1,1,1,49,8,3,0,0,0,0,0,8,1
201401BS70002,2,1,1,2,27,6,3,0,0,0,0,0,1,-1
201401BS70003,2,1,1,1,27,6,3,0,0,0,0,0,3,1
201401BS70004,1,1,3,2,31,6,3,1,1,0,0,2,0,1
201401BS70006,1,1,1,1,32,6,3,0,0,0,0,0,9,1
201401BS70008,2,1,1,1,41,7,3,0,0,0,0,0,3,1
201401BS70009,1,1,1,1,30,6,3,0,0,0,0,0,3,1
201401BS70010,2,1,1,1,71,10,3,0,0,0,0,0,1,1
201401BS70011,1,1,1,2,45,7,3,0,0,0,0,0,3,-1
201401BS70013,2,1,1,1,45,7,3,0,0,0,0,0,1,1
201401BS70014,1,1,3,1,24,5,2,10,1,0,0,2,0,1
201401BS70015,1,1,1,1,42,7,3,0,0,0,0,0,3,1
201401BS70016,1,1,3,2,70,10,2,1,1,0,0,2,0,1
201401BS70017,1,1,3,1,49,8,3,6,9,0,0,2,0,1
201401BS70018,1,1,1,1,-1,-1,2,0,0,0,0,0,3,1
201401BS70018,1,2,3,1,75,10,3,10,3,0,0,2,0,-1
201401BS70020,2,1,2,2,36,7,3,0,0,2,0,0,9,1
201401BS70022,2,1,1,1,28,6,2,0,0,0,0,0,4,1
201401BS70023,2,1,1,1,22,5,3,0,0,0,0,0,1,1
201401BS70024,1,1,1,2,22,5,2,0,0,0,0,0,9,1
201401BS70024,1,2,2,2,23,5,2,0,0,1,0,0,9,1
201401BS70025,1,1,3,1,23,5,3,9,5,0,0,2,0,1
201401BS70026,1,1,1,1,29,6,3,0,0,0,0,0,2,1
201401BS70027,2,1,1,1,-1,-1,3,0,0,0,0,0,1,1
201401BS70028,1,1,1,1,24,5,3,0,0,0,0,0,3,1
201401BS70029,2,1,1,2,29,6,3,0,0,0,0,0,4,-1
201401BS70030,2,1,1,1,25,5,3,0,0,0,0,0,3,1
201401BS70032,1,1,3,1,64,9,2,10,1,0,0,2,0,1
201401BS70033,1,1,1,1,38,7,3,0,0,0,0,0,9,1
201401BS70033,1,3,2,1,18,4,3,0,0,1,0,0,9,1
201401BS70033,2,2,1,1,36,7,3,0,0,0,0,0,9,1
201401BS70033,2,5,2,2,65,9,3,0,0,2,0,0,9,1
201401BS70033,3,4,2,2,65,9,3,0,0,0,0,0,19,1
201401BS70034,1,1,3,1,29,6,3,1,3,0,0,2,0,-1
201401BS70035,1,1,1,1,25,5,3,0,0,0,0,0,1,1
201401BS70036,1,1,1,1,49,8,3,0,0,0,0,0,3,2
201401BS70039,1,1,3,2,27,6,3,4,1,0,0,2,0,1
201401BS70040,1,1,3,1,32,6,2,10,1,0,0,2,0,1
201401BS70041,1,1,1,2,29,6,3,0,0,0,0,0,9,1
201401BS70042,1,1,3,2,33,6,3,10,9,0,0,2,0,1
201401BS70043,1,1,2,1,71,10,3,0,0,0,3,0,11,1
201401BS70045,2,1,1,1,-1,-1,3,0,0,0,0,0,1,-1
201401BS70046,1,1,1,2,48,8,3,0,0,0,0,0,3,1
201401BS70047,1,1,3,2,59,9,3,4,1,0,0,2,0,1
201401BS70047,1,2,1,1,38,7,3,0,0,0,0,0,5,1
201401BS70048,2,1,1,1,25,5,2,0,0,0,0,0,3,1
201401BS70049,2,1,1,1,24,5,3,0,0,0,0,0,3,1
201401BS70050,1,1,1,1,25,5,3,0,0,0,0,0,9,1
201401BS70050,2,2,1,1,71,10,3,0,0,0,0,0,9,1
201401BS70051,1,1,2,1,5,1,3,0,0,2,0,0,9,1
201401BS70052,2,1,1,1,49,8,3,0,0,0,0,0,3,1
201401BS70054,2,1,1,1,32,6,3,0,0,0,0,0,1,1
201401BS70055,1,1,2,1,12,3,3,0,0,0,3,0,11,1
201401BS70055,1,2,2,1,12,3,3,0,0,0,3,0,11,1
