Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2017010001708,1,1,2,2,18,4,3,0,0,1,0,0,9,1,2
2017010001708,2,2,1,1,19,4,2,0,0,0,0,0,2,-1,-1
2017010001708,2,3,2,1,18,4,1,0,0,0,0,0,2,-1,-1
2017010009342,1,1,2,2,33,6,3,0,0,1,0,0,9,1,5
2017010009344,3,1,1,2,31,6,3,0,0,0,0,0,9,1,5
2017010009348,1,1,2,1,3,1,3,0,0,2,0,0,9,1,2
2017010009350,1,1,3,1,45,7,2,4,3,0,0,2,0,-1,-1
2017010009351,2,1,1,1,14,3,3,0,0,0,0,0,3,1,9
2017010009353,1,1,1,2,58,9,3,0,0,0,0,0,9,1,2
2017010009353,2,2,1,1,27,6,3,0,0,0,0,0,9,1,3
2017010009354,1,1,1,2,39,7,3,0,0,0,0,0,8,1,4
2017010009357,1,1,3,1,48,8,2,10,9,0,0,2,0,-1,-1
2017010009358,1,1,1,1,26,6,2,0,0,0,0,0,1,1,6
2017010009360,1,1,1,2,47,8,3,0,0,0,0,0,9,1,1
2017010009360,1,2,2,1,11,3,3,0,0,2,0,0,9,1,1
2017010009360,1,3,2,2,15,3,3,0,0,2,0,0,9,1,1
2017010009360,1,4,2,1,11,3,3,0,0,2,0,0,9,1,1
2017010009362,1,1,3,2,23,5,3,4,1,0,0,2,0,1,10
2017010009363,1,1,2,2,60,9,3,0,0,0,3,0,11,1,2
2017010009363,1,2,2,1,23,5,3,0,0,0,3,0,11,1,2
2017010009363,1,3,2,1,34,6,3,0,0,0,3,0,11,1,2
2017010009364,1,1,1,1,44,7,2,0,0,0,0,0,9,1,6
2017010009365,2,1,1,1,48,8,3,0,0,0,0,0,9,1,7
2017010009366,1,1,2,1,25,5,3,0,0,2,0,0,8,-1,-1
2017010009375,2,1,3,1,50,8,3,6,9,0,0,2,0,1,6
2017010009376,1,1,3,2,50,8,3,1,1,0,0,2,0,1,4
2017010009377,1,1,3,2,45,7,3,5,3,0,0,2,0,1,9
2017010009379,2,1,2,1,19,4,3,0,0,1,0,0,9,1,5
2017010009380,2,1,2,2,53,8,3,0,0,1,0,0,9,1,2
2017010009381,1,1,2,1,13,3,3,0,0,1,0,0,9,1,1
2017010009382,2,1,1,1,19,4,3,0,0,0,0,0,9,1,1
2017010009382,2,2,2,1,22,5,3,0,0,1,0,0,9,1,4
2017010009383,1,1,3,1,24,5,3,5,3,0,0,2,0,1,3
2017010009386,1,1,1,1,20,4,3,0,0,0,0,0,3,1,2
2017010009387,1,1,1,1,45,7,3,0,0,0,0,0,3,1,3
2017010009388,2,1,1,1,37,7,3,0,0,0,0,0,3,1,6
2017010009389,1,1,1,2,49,8,3,0,0,0,0,0,9,1,1
2017010009390,2,1,2,2,59,9,3,0,0,1,0,0,9,1,10
2017010009391,1,1,1,1,34,6,3,0,0,0,0,0,2,1,6
2017010009393,1,1,1,2,24,5,3,0,0,0,0,0,9,1,10
2017010009394,1,1,1,2,34,6,3,0,0,0,0,0,9,1,3
2017010009394,2,2,1,1,30,6,3,0,0,0,0,0,8,1,2
2017010009397,2,1,1,1,17,4,2,0,0,0,0,0,2,1,2
2017010009398,2,1,1,2,45,7,3,0,0,0,0,0,9,1,3
2017010009399,3,1,1,1,29,6,3,0,0,0,0,0,9,1,4
2017010009399,3,2,2,1,24,5,3,0,0,1,0,0,9,1,2
2017010009399,3,3,2,1,26,6,3,0,0,2,0,0,9,1,3
2017010009400,2,1,1,2,44,7,3,0,0,0,0,0,9,1,2
2017010009400,2,2,2,2,48,8,3,0,0,1,0,0,9,1,1
2017010009400,2,3,2,2,17,4,3,0,0,2,0,0,9,1,1
2017010009400,2,4,2,1,14,3,3,0,0,2,0,0,9,1,1
2017010009400,2,5,2,2,14,3,3,0,0,2,0,0,9,1,2
2017010009402,1,1,1,1,69,10,3,0,0,0,0,0,9,1,6
2017010009403,1,1,3,1,22,5,3,5,1,0,0,2,0,1,6
2017010009405,1,1,1,1,28,6,3,0,0,0,0,0,4,1,7
2017010009406,2,1,1,1,16,4,3,0,0,0,0,0,2,1,2
2017010009408,1,1,1,1,32,6,3,0,0,0,0,0,9,1,4
2017010009409,1,1,1,1,31,6,3,0,0,0,0,0,4,1,4
2017010009411,1,1,1,1,26,6,3,0,0,0,0,0,9,1,6
2017010009412,1,1,3,2,17,4,3,5,1,0,0,2,0,1,4
2017010009413,1,1,1,2,22,5,3,0,0,0,0,0,9,1,4
2017010009415,1,1,3,2,14,3,3,8,1,0,0,2,0,1,6
2017010009416,1,1,1,2,41,7,3,0,0,0,0,0,9,1,6
2017010009416,1,2,2,1,6,2,3,0,0,2,0,0,9,1,6
2017010009417,1,1,3,2,20,4,3,1,3,0,0,2,0,1,1
2017010009418,1,1,3,2,22,5,2,1,3,0,0,2,0,-1,-1
2017010009419,1,1,3,1,49,8,3,5,4,0,0,2,0,1,3
2017010009420,1,1,1,1,25,5,3,0,0,0,0,0,3,1,3
2017010009422,2,1,2,2,36,7,3,0,0,1,0,0,9,1,3
2017010009423,2,1,2,2,58,9,3,0,0,2,0,0,9,1,5
2017010009425,2,1,1,1,19,4,3,0,0,0,0,0,9,1,8
2017010009428,1,1,3,1,4,1,3,4,1,0,0,2,0,-1,-1
2017010009430,1,1,1,2,31,6,3,0,0,0,0,0,9,1,3
2017010009430,1,2,2,2,28,6,3,0,0,1,0,0,9,1,4
2017010009430,1,3,2,1,7,2,3,0,0,2,0,0,9,1,3
2017010009430,1,4,2,1,5,1,3,0,0,2,0,0,9,1,3
2017010009431,1,1,2,2,19,4,3,0,0,1,0,0,9,1,3
2017010009431,2,2,1,1,45,7,3,0,0,0,0,0,8,1,4
2017010009433,1,1,1,1,22,5,3,0,0,0,0,0,9,1,4
2017010009433,2,2,1,1,29,6,3,0,0,0,0,0,9,1,2
2017010009433,2,3,2,1,37,7,3,0,0,1,0,0,9,1,3
2017010009434,2,1,1,1,16,4,2,0,0,0,0,0,90,1,2
2017010009434,2,2,3,1,8,2,3,6,9,0,0,2,0,1,8
2017010009435,1,1,1,2,44,7,3,0,0,0,0,0,9,1,2
2017010009436,1,1,1,1,22,5,3,0,0,0,0,0,9,1,6
2017010009436,1,2,2,1,24,5,3,0,0,1,0,0,9,1,1
2017010009436,1,3,2,2,21,5,3,0,0,2,0,0,9,1,3
2017010009436,1,4,2,2,19,4,3,0,0,2,0,0,9,1,6
2017010009436,2,5,1,1,48,8,3,0,0,0,0,0,9,1,1
2017010009436,2,6,2,1,9,2,3,0,0,1,0,0,9,1,1
2017010009437,1,1,1,2,21,5,3,0,0,0,0,0,9,1,3
2017010009438,1,1,3,1,27,6,3,1,1,0,0,2,0,1,1
2017010009439,1,1,2,2,76,11,3,0,0,1,0,0,9,1,2
2017010009440,1,1,1,1,48,8,2,0,0,0,0,0,2,-1,-1
2017010009441,2,1,1,1,23,5,3,0,0,0,0,0,3,1,2
2017010009442,2,1,1,1,24,5,3,0,0,0,0,0,3,1,6
2017010009443,1,1,3,1,31,6,2,6,9,0,0,2,0,1,4
2017010009445,1,1,3,2,49,8,3,1,1,0,0,2,0,1,3
2017010009446,1,1,3,2,28,6,3,9,9,0,0,2,0,1,2
2017010009446,1,2,3,1,6,2,3,9,5,0,0,2,0,1,2
2017010009448,1,1,3,1,41,7,2,4,3,0,0,2,0,-1,-1
2017010009449,1,1,3,1,73,10,3,6,9,0,0,2,0,-1,-1
2017010009451,1,1,1,1,53,8,3,0,0,0,0,0,4,1,5
2017010009452,1,1,3,2,43,7,2,5,1,0,0,2,0,1,7
2017010009453,1,1,1,1,30,6,3,0,0,0,0,0,4,1,5
